Role,brand,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,KPMG South Africa (,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Mazars South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,PwC South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Consulting South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Financial Emigration,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,
,Intergate Immigration,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,
,KPMG South Africa (,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,
,PWC South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,
,Sable International,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
,Tax Consulting South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
,XpatWeb,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,
,Financial Emigration,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Intergate Immigration,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,Mazars South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,PWC South Africa,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,Sable International,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Tax Consulting South Africa,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,XPatWeb,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,BDO South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,EY South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Integritax,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,Mazars South Africa,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,RSM South Africa,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Consulting South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Shop,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,BDO South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Deloitte South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,KPMG South Africa (,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Mazars South Africa,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,PWC South Africa,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Consulting South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,XPatWeb,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,BDO South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
,Integritax,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,Mazars South Africa,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
,PKF South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
,Tax Consulting South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,XpatWeb,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
,Alexander Forbes,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Allan Gray,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Discovery,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Glacier by Sanlam,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Liberty Life,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Momentum,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,NFB Private Wealth Management,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Old Mutual,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PSG Wealth,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,Sanlam,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,BDO South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Expatriate Tax Services,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Intergate Immigration,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,KPMG South Africa,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PWC South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Regan van Rooy,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Sable International,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Consulting South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,XpatWeb,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,Deloitte South Africa,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,Intergate Immigration,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
,KPMG South Africa (,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,PWC South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,Tax Consulting South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
,XpatWeb,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
,Alexander Forbes,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Allan Gray,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Discovery,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Liberty,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Momentum,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,Ninety One,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Old Mutual,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PSG Wealth,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,Sanlam,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Deloitte South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Financial Emigration,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,KPMG South Africa (,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,PWC South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Sable International,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Consulting South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Shop,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,XpatWeb,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,AltCoinTrader Tax,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Auditproof,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,BDO South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Hobbs Sinclair,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Mazars South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,TaxTim,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,AltCoinTrader Tax,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,AuditLink,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,Crypto Tax SA,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Mazars South Africa,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Probity Advisory,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Stratasat,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,TaxTim,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,AJM Tax,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,AltCoinTrader Tax,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
,Crypto Tax,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,Hobbs Sinclair,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
,Mazars South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
,PKF South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
,Tax Consulting SA,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,TaxTim,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
,AJM Tax,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,Altax,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
,Crypto Tax,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,Hobbs Sinclair,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
,Mazars South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
,PKF South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
,Tax Consulting SA,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,TaxTim,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
,AltCoinTrader,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,BDO South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,CryptoTaxAfrica,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Hobbs Sinclair,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Mazars South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,TaxTim,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,AJM Tax,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,C-Tax,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Cryptotax,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Hobbs Sinclair,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Marwick & Company,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Mazars South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Consulting SA,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,TaxTim,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,AltCoinTrader,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Deloitte South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,KPMG South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Mazars South Africa,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,PWC South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,TaxTim,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,AltCoinTrader,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
,Ice3X,1,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,
,Luno,1,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,
,SAFCOIN,1,0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,
,VALR,1,0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
,AJM Tax,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Crypto Tax,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Hobbs Sinclair,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Integritax,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Mazars,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,Schindlers Attorneys,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,Tax Consulting South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Shop,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,TaxTim,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,AltCoinTrader Tax (,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,AltCrypto Tax,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
,CryptoTaxAfrica,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
,TaxCrypto,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
,TaxTim,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
,AJM Tax,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,AltCoinTrader Tax Services,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Auditproof,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Crypto Tax,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Hobbs Sinclair,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Mazars South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,OCTO,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,Schindlers Attorneys,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,Tax Consulting South Africa,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,AltVest Capital,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,BDO South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Crypto Academy,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,Crypto Tax,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Mazars South Africa,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Tax Consulting South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,BDO South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,Deloitte South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,EY South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Hobbs Sinclair,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,KPMG South Africa (,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,Mazars South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PWC South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Tax Consulting South Africa,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,AltCoinTrader Tax,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,Auditware,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
,KPMG South Africa (,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
,Mazars South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
,PKF South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
,TaxTim,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
,AltCoinTrader,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
,AltCryptoTax,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
,Crypto Accounting Solutions,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
,CryptoTaxAfrica,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
,Mazars South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
,TaxTim,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
,AJM Tax,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Crypto Tax Solutions,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,ENSafrica,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Hobbs Sinclair,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Mazars South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,RSM South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Schindlers Attorneys,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Tax Consulting South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Shop,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,BDO South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,Grant Thornton South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,KPMG South Africa (,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Mazars,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PKF South Africa,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PWC South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Remuneration Consultants,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,Tax Consulting South Africa,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Shop,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,Deloitte South Africa,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
,Financial Emigration,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
,KPMG South Africa (,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
,Mazars South Africa,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
,PWC South Africa,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
,Sable International,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
,Tax Consulting South Africa,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,Tax Shop,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
,XpatWeb,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
