brand,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
Siverview Immigration,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Skills Portal:,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Skills Universe:,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Standard Bank South Africa,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Status Solutions SA,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TLScontact South Africa,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Talent Solutions,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Tax Debt SA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Resolution Services,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tax Tim,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TaxAssist South Africa,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
TaxCorp South Africa,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
TaxManSA,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
TaxRisk,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TaxTim South Africa,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Tender Experts SA:,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Skills Academy:,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
VALR,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
VKTA Immigration,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Visa Immigration,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Visa Immigration SA,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Visa and Immigration Consultants,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VisaConnect:,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VisaFirst,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[Relocate.me](,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
**Compliance Partners:**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**DLA Piper South Africa**,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
**Hogan Hilling**:,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**Houghton Harper:**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**Immigra:**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Immigration Assist**:,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Immigration Lawyers South Africa (ILASA)**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Immigration.co.za (Immigration South Africa)**,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
**LWO (LabourWise Organisation):**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
**Labour Protect:**,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
**LabourMan:**,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
**Le Roux Attorneys (Immigration South Africa):**,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
**Pathways Immigration Consultants**,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
