brand,total,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
Tax Partners,10,0,0,0,0,2,0,3,3,0,2,0,0,0,0,0
[Webber,10,1,1,0,0,2,2,1,1,1,1,0,0,0,0,0
**Global Immigration Solutions**,9,0,0,0,4,1,3,1,0,0,0,0,0,0,0,0
Craig Smith & Associates,9,0,1,1,0,0,0,1,3,2,1,0,0,0,0,0
Galbraith | Rushby,9,0,1,0,1,2,2,0,0,0,3,0,0,0,0,0
Grant Thornton,9,1,0,0,1,2,2,2,1,0,0,0,0,0,0,0
Migrate With Q:,9,1,0,0,1,1,0,2,3,0,1,0,0,0,0,0
SPS Immigration Specialists,9,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0
Sars eFiling,9,1,0,4,1,1,1,0,0,0,1,0,0,0,0,0
The Visa Company,9,0,1,1,1,5,0,0,0,0,1,0,0,0,0,0
VisaSouthAfrica,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
[Tax Consulting South Africa (Pty),9,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
[Tax Practitioners South,9,0,0,3,2,3,0,1,0,0,0,0,0,0,0,0
**Immigration Lawyers South Africa**,8,1,0,0,1,2,0,2,1,1,0,0,0,0,0,0
Alexander Forbes,8,2,1,2,0,0,0,1,0,2,0,0,0,0,0,0
Black Pen Recruitment,8,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0
Discovery,8,0,0,1,2,1,2,2,0,0,0,0,0,0,0,0
Global Visa Support,8,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0
Le Roux Attorneys Inc:,8,0,1,3,1,0,1,1,1,0,0,0,0,0,0,0
Octagon Financial Solutions,8,0,0,0,0,0,1,2,1,3,1,0,0,0,0,0
PKF,8,0,0,0,2,4,1,0,1,0,0,0,0,0,0,0
Rand Rescue,8,0,0,4,0,2,0,0,0,1,1,0,0,0,0,0
SA Visa,8,1,0,1,1,1,2,1,0,0,1,0,0,0,0,0
SIA Legal & Associates,8,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0
Tax Tim,8,0,1,2,2,1,0,0,0,1,1,0,0,0,0,0
VFS Global South Africa,8,4,0,1,1,0,0,0,1,1,0,0,0,0,0,0
VisaBox:,8,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ATA Tax Consultants,7,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0
Debt Rescue,7,1,0,1,0,3,0,1,0,0,1,0,0,0,0,0
Ernst & Young (EY) South Africa,7,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
FNB,7,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0
FNB (First National Bank),7,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0
IBN Consulting:,7,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0
Integritax,7,0,0,1,0,0,0,1,0,2,3,0,0,0,0,0
Intergate Emigration,7,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0
MDR Tax Solutions,7,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0
SSA Global,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Sovereign Trust SA,7,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0
Tax Shop South Africa,7,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0
VisaCorp,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
[Grant Thornton South,7,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0
[Norton Rose Fulbright South,7,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0
[SARS Tax,7,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0
[Tax & Accounting,7,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0
**Cliffe Dekker Hofmeyr (CDH):**,6,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
**VisaHQ**,6,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0
Capitec Bank,6,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
Crypto Tax,6,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0
Expatriate Tax Consulting,6,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0
Fragomen South Africa,6,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0
Immigration.sa,6,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0
Koinly,6,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0
MDH Accounting,6,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0
Norton Rose Fulbright South Africa:,6,0,0,0,1,2,1,0,0,0,2,0,0,0,0,0
Norton Rose Fulbright:,6,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0
Passport South Africa,6,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0
SARS Tax Practitioners,6,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0
SPS Immigration,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
Saffas Abroad,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
Schindlers Attorneys,6,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0
Sovereign Trust,6,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0
Tax Debt Help:,6,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0
Tax Risk Management,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
TaxCorp,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Travel Visa Pro,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
Visalogix,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
[BLS,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
[Mazars South,6,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0
[Nomad,6,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0
**Pathfinder Immigration:**,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
**VisaHQ South Africa**,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
AXIOM Tax Solutions:,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
AltCoinTrader Tax,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Apex Tax Solutions:,5,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0
Baker Tilly South Africa,5,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0
Cashkows,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Coronation,5,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0
Expat Tax,5,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0
Expat Tax South Africa:,5,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
Expatriate Tax Solutions,5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
First National Bank (FNB),5,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0
IMCOSA Immigration,5,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0
Immigration Direct South Africa,5,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0
Koinly South Africa (,5,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0
LabourNet,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Nedbank Private Wealth:,5,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0
SARS Tax Help,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
South Africa Visa,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Tax Consulting South Africa (TCSA),5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tax Debt Advisors,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
TaxShop,5,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0
Visa & Permit Solutions,5,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0
Visa First,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Visa and Immigration Consultants,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[BDO South,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
[Nexia,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
[Sasfin,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[Tax & Compliance,5,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0
[Tax Assist South,5,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0
[VFS Global South,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
[Workforce,5,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0
**SA Immigration Services**,4,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
**Workpermit.com**,4,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
ABSA Bank,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ATAX,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
Adams & Adams,4,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
AltCoinTrader,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bidvest Bank,4,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
Crypto Tax South Africa,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Exceed Tax and Advisory Services,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Expatriate Solutions,4,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0
FinSolve Debt Solutions,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
Henley & Partners,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
ICA (Immigration Consultants Africa),4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
Immigration Direct SA,4,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0
Le Roux Attorneys Immigration,4,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
New World Immigration Pty Ltd,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninety One,4,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0
Permits SA,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Pro Tax,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
Rand Merchant Bank,4,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0
SBN Immigration:,4,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
Saffery Trust South Africa,4,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
Sage,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
SarsTax,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
South Africa Immigration,4,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Status Immigration,4,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
Sygnia:,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
Tax Rescue,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
TaxAssist,4,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
The Tax Faculty,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
Visa & Immigration Services,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Visa & Migration Solutions,4,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0
Visa Express,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
Visa Facilitation Services (VFS):,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
Visa First South Africa:,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
Visa and Immigration Solutions,4,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Visas and Permits,4,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
Visas for South Africa,4,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
Work Permits South Africa,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Work Visa Lawyers,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Work Visa SA,4,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
[Debt,4,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0
[FNB (First National,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
[Nedbank Private,4,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0
[Standard,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
[Talent,4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
[Tax & Financial,4,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
[Workaway](,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
**Global Immigration Partners**,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
**Immigration Lawyers South Africa (ILSA)**,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
**Legal & Tax Services**:,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
**Old Mutual Wealth**,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
**Tax & Legal Advisors**,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
**Tax & VAT Consultants** â€“,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
**Visas4SouthAfrica**,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
A Tax Practitioner,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
AF Immigration,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Apex Tax Consultants,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
BLS International,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Brenthurst Wealth Management:,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Business Partners Limited,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Cape Town Visa,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Company Partners,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
CryptoTaxAfrica,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
E&Y South Africa,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Emigrate2,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Emigration South Africa,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Exchange4Free,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
ICA,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
IMCOSA,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Immigration Advice South Africa,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Immigration Experts:,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Immigration Nation,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Intergate Visas,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawyers for Human Rights,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Luno,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mazars in South Africa,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Mercer South Africa:,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Migrate Me,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
SA Crypto Tax,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SAAAC:,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
SARS Debt Solutions,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SARS Tax Debt Solutions,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
SARS Tax Solutions,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
SEESA,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
STC Immigration Consultants,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Saffron Financial,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
South African Revenue Service (SARS) (,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Tax Debt Compliance SA,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Tax Matters,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
TaxCorp South Africa,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
TaxLab,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TaxLawHome,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
The Emigration Group,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
The Immigration Group,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
Travel Visa Company,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Xago,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
[FNB Private,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
[Global Immigration,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
[Global Visa,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
[Immigration Experts South,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
[SA,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
[Tax,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
